2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,945 | INFO | src.data.validator | Record validated cleanly
